t,chainSymbol,occSymbol,instrumentId,expiration,dte,strike,type,bid,ask,mark,last,volume,openInterest,impliedVolatility,delta,gamma,theta,vega,rho,underlyingPrice,source
1763429903644,SPY,,50eef923-2969-44c1-b3f1-46c76b8d7497,2025-12-05,17.931671,500,CALL,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,8af368f1-910d-4a3e-adc8-013ca69e7f82,2025-12-05,17.931671,500,PUT,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,27ea4502-d134-4f7c-a665-2c1a2ad9fabb,2025-12-05,17.931671,505,CALL,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,7d19c8bd-f5f4-4518-bccf-0d4998af0e76,2025-12-05,17.931671,505,PUT,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,12cbccc9-dd9a-41c0-bfb5-96e77e22066d,2025-12-05,17.931671,510,PUT,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,a721fc36-656b-4d90-a4ca-e63cfbd1475e,2025-12-05,17.931671,510,CALL,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,46642379-9c20-4ff1-b687-3f0bda51f32c,2025-12-05,17.931671,515,CALL,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,4817b6ff-46aa-4063-90de-36c91898c12a,2025-12-05,17.931671,515,PUT,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,226a3300-8a88-4f9a-8c91-ad35185123df,2025-12-05,17.931671,520,PUT,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,51eab418-01cb-4b00-b55b-a90d18d322c3,2025-12-05,17.931671,520,CALL,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,1f9349ad-f11e-4758-81cd-266f333a4c32,2025-12-05,17.931671,525,PUT,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
1763429903644,SPY,,fab0bdcd-0cdc-4438-9048-29868875f8ae,2025-12-05,17.931671,525,CALL,,,,,,,,,,,,,,https://api.robinhood.com/options/instruments/?chain_id=c277b118-58d9-4060-8dc5-a3b5898955cb&expiration_dates=2025-12-05&page_size=2000&state=active
